"TIME","MAGN"
29.005,59.9036335500611
29.015,59.7475810179793
29.028,59.6005911778566
29.05,59.7955501061743
29.062,59.5447245249317
29.073,59.5516451284093
29.078,59.7020270279829
29.082,59.5522682712422
29.089,59.2490769970301
29.11,59.5328165804374
29.113,59.8972101291037
29.133,59.9269737889375
29.139,60.0024088058138
29.141,59.8738256669807
29.147,59.4674937465839
29.158,59.6144841355689
29.168,59.615532529283
29.178,59.6901504647124
29.188,59.6147134732693
29.198,59.767975852458
29.209,59.6467138135036
29.217,59.6753587127887
29.228,59.8602865533569
29.238,59.737577160444
29.247,59.7530726197406
29.259,59.781013133352
29.267,59.6584680703419
29.278,59.5506940030929
29.291,59.503216824807
29.299,59.5183138832074
29.31,59.5507268007704
29.32,59.8450473096981
29.332,59.8451778550286
29.343,59.7104340756287
29.353,59.740225403408
29.363,59.6806933291663
29.374,59.7147189246504
29.385,59.6851112087428
29.394,59.7734329050122
29.405,59.7565699839775
29.414,59.8160265418057
29.425,59.9220848268817
29.436,60.3246749369609
29.447,60.3377861501398
29.457,60.5471471768076
29.466,60.4705829825544
29.475,60.4103480891312
29.498,60.2747291055713
29.508,60.2439701339478
29.518,60.1377650170839
29.529,60.1545210790511
29.539,60.1597482749055
29.55,60.1611767463038
29.56,60.3293694024726
29.57,60.5832007965079
29.579,60.5266922006316
29.592,60.500193698037
29.603,60.7485532235131
29.612,60.948941233626
29.626,60.9214081317069
29.636,60.9887925155106
29.648,60.9387820377959
29.658,60.874037466723
29.669,60.8266941297158
29.68,60.7442769938041
29.69,60.6148831764939
29.701,60.4991283511589
29.711,60.3501825287215
29.721,60.175881536958
29.734,60.1325359102707
29.747,60.2651692522306
29.755,60.2172499164484
29.764,60.3796582053923
29.776,60.2957878400307
29.789,60.1853257655053
29.809,60.1909072244305
29.82,60.3855451453409
29.831,60.3345490784509
29.844,60.3782995992766
29.856,60.42253563448
29.864,60.5564367449902
29.874,60.4041402244085
29.886,60.5054555907978
29.899,60.4096044723022
29.917,60.7320575355388
29.93,60.662134245755
29.947,60.4912829463882
29.953,60.7287128342105
29.965,60.6182019384442
29.972,60.7159433859839
29.977,60.6683157113332
29.979,60.7299671187956
29.988,60.5325971068481
30.007,60.5946444621965
30.019,60.5150743100428
30.029,60.3802081087006
30.038,60.331667938571
30.052,60.3496323518213
30.061,60.0895815636954
30.067,60.4109947050204
30.079,60.3102978872597
30.088,60.5599199656836
30.098,60.6434894485797
30.109,60.8545268447632
30.118,60.8157116315348
30.128,60.7706047875945
30.14,61.2839510496019
30.149,60.9360576752386
30.159,60.9754369090538
30.18,60.9310894063942
30.19,60.9774868804053
30.2,61.0083242271086
30.21,61.0752929280736
30.221,60.7395502843905
30.229,60.9934358660832
30.24,61.0630437539761
30.253,60.9085828824641
30.262,60.9793125781195
30.272,61.2373073583416
30.282,61.2439091359296
30.3,61.7366192486275
30.305,61.7369039756611
30.319,61.6416686381866
30.33,61.5397800715115
30.343,61.5551391538513
30.354,61.8966502526591
30.366,61.7795349407876
30.376,61.6352995956862
30.384,61.6706220578324
30.394,62.2877960057185
30.407,62.2513491319666
30.418,62.2336198328524
30.428,62.2497803710985
30.437,62.2104543063302
30.448,62.3403586170308
30.459,62.4050215828021
30.469,62.3220591965638
30.478,62.2185224129439
30.49,62.0340758172474
30.5,61.8774620722279
30.51,61.6427459235878
30.521,61.4382311757101
30.532,61.2023092395213
30.541,61.2293651465537
30.557,61.1990221531358
30.568,61.1209737937805
30.576,61.260235114224
30.585,61.3930090686228
30.599,61.5188614369609
30.61,61.5665925035648
30.62,61.973217501595
30.63,61.978102231756
30.639,62.0840534074572
30.65,62.3766595470614
30.661,62.5226209063568
30.673,62.4941872296936
30.682,62.4694300238124
30.692,62.4700865915039
30.703,62.4202616343443
30.714,62.3704595040793
30.723,62.2448855830742
30.733,62.1250314386238
30.755,62.231736778753
30.765,62.2398648877871
30.776,62.3697705723694
30.788,62.1933414341921
30.8,62.1661395475865
30.807,62.2573100627549
30.82,62.2774475131247
30.829,62.2026991476254
30.84,62.122610618035
30.851,62.0648602270238
30.863,61.9823878714752
30.886,62.0886777621331
30.905,62.3212757110282
30.91,62.1236795634322
30.914,62.1081151601785
30.917,62.3351262832602
